expose_id;plz;region;typ;etagenzahl;wohnflaeche;kaufpreis;grundstueck;zimmer;schlafzimmer;badezimmer;baujahr;modernisierung;bauphase;objektzustand;heizungsart;energietraeger;energieausweis;energieausweistyp;energiebedarf;energieeffizienzklasse
101428094;12307;12307 Berlin, Lichtenrade;Doppelhaushälfte;3;123;629130;320;4;3;1;2020;;;Erstbezug;Blockheizkraftwerke;KWK fossil;liegt vor;Bedarfsausweis;56;B
103208658;14513;14513 Teltow, Potsdam-Mittelmark (Kreis);Mehrfamilienhaus;2;1662;3600000;5204;62;24;24;1980;2015;;Renovierungsbedürftig;Zentralheizung;Gas;liegt vor;Bedarfsausweis;157,8;E
103962811;16766;16766 Kremmen, Oberhavel (Kreis);Doppelhaushälfte;2;140;190000;507;5;4;1;1997;;Haus fertig gestellt;Gepflegt;Gas-Heizung;Gas;liegt vor;Verbrauchsausweis;;C
103962813;16766;16766 Kremmen, Oberhavel (Kreis);Doppelhaushälfte;2;140;190000;506;5;4;1;1997;;Haus fertig gestellt;Gepflegt;Gas-Heizung;Gas;liegt vor;Verbrauchsausweis;;C
104893474;24790;24790 Schacht-Audorf, Rendsburg-Eckernförde (Kreis);Einfamilienhaus (freistehend);1;150;405000;600;6;5;2;1986;2015;Haus fertig gestellt;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;D
105189534;22587;22587 Hamburg, Blankenese;Doppelhaushälfte;4;164;1185000;130;4;3;2;2019;;;Erstbezug;Blockheizkraftwerke;Strom, Erdgas leicht;;Bedarfsausweis;45,1;A
106369909;14532;14532 Stahnsdorf, Potsdam-Mittelmark (Kreis);Einfamilienhaus (freistehend);4;350;1700000;1593;9;;;1999;;;;Zentralheizung;Gas, Öl;liegt vor;Verbrauchsausweis;;E
106485557;21483;21483 Juliusburg, Herzogtum Lauenburg (Kreis);;4;300;389000;8750;7;;;1848;;;;Zentralheizung;Holz;liegt vor;Bedarfsausweis;294;H
106556028;13509;13509 Berlin, Tegel;Einfamilienhaus (freistehend);3;178;780000;343;7;;3;2005;;Haus fertig gestellt;Gepflegt;Fußbodenheizung;Gas;liegt vor;Verbrauchsausweis;;B
107505438;86842;86842 Türkheim, Unterallgäu (Kreis);Einfamilienhaus (freistehend);3;340;990000;924;10;;3;2001;;Haus fertig gestellt;Neuwertig;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
107652539;09623;09623 Frauenstein, Mittelsachsen (Kreis);Besondere Immobilie;3;1650;475000;3200;22;17;17;1890;;;Saniert;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;B
107866363;16552;16552 Schildow, Mühlenbecker Land;Besondere Immobilie;2;118,58;846000;2186;5;4;2;1922;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;G
107964397;14167;14167 Berlin, Zehlendorf;Reiheneckhaus;2;130;510000;1131;5;3;1;1978;;;Gepflegt;Zentralheizung;Öl;liegt vor;Verbrauchsausweis;;F
107978839;84439;84439 Steinkirchen, Erding (Kreis);Einfamilienhaus (freistehend);2;260;1275000;855;6;;3;2003;;Haus fertig gestellt;Neuwertig;Fußbodenheizung;Öl;liegt vor;Verbrauchsausweis;;C
108117134;24628;24628 Hartenholm, Segeberg (Kreis);Villa;2;320;850000;14900;7;5;2;1994;;;;Öl-Heizung;Öl;liegt vor;Verbrauchsausweis;;A
108230537;21147;21147 Hamburg, Neugraben-Fischbek;Reiheneckhaus;3;142;584950;330;4;3;1;2020;;;Erstbezug;Fußbodenheizung;Fernwärme;liegt vor;Bedarfsausweis;68;B
108271171;13589;13589 Berlin, Hakenfelde;Villa;3;400;1480000;1250;5;;;1980;;Haus fertig gestellt;Gepflegt;;;liegt vor;Verbrauchsausweis;;C
108620497;23843;23843 Bad Oldesloe, Stormarn (Kreis);Reihenmittelhaus;3;125;379000;304;5;3;2;2004;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;E
110506334;16515;16515 Oranienburg, Oberhavel (Kreis);Reihenmittelhaus;2;167;648000;630;5;;;2020;;Haus im Bau;Erstbezug;Blockheizkraftwerke;Nahwärme;liegt vor;Bedarfsausweis;81;C
111151502;14532;14532 Kleinmachnow, Potsdam-Mittelmark (Kreis);Doppelhaushälfte;3;145,32;615000;231;7;3;1;1997;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
111154324;22927;22927 Großhansdorf, Stormarn (Kreis);Mehrfamilienhaus;3;382;990000;3995;11;;;1906;;;;Zentralheizung;Öl;liegt vor;Bedarfsausweis;445,6;H
111159785;70193;70193 Stuttgart, Hölderlinplatz;Einfamilienhaus (freistehend);4;550;3350000;880;8;5;3;1936;2004;;Saniert;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;E
111168057;32756;32756 Detmold, Lippe (Kreis);Einfamilienhaus (freistehend);4;130;200000;667;6;;2;1914;2004;Haus fertig gestellt;Renovierungsbedürftig;Etagenheizung;Gas;liegt vor;Bedarfsausweis;293,6;H
111327207;14089;14089 Berlin, Kladow;Einfamilienhaus (freistehend);2;145;690000;620;6;;2;1984;2019;;Gepflegt;Zentralheizung;Erdgas leicht;liegt vor;Bedarfsausweis;122;F
111395818;21698;21698 Harsefeld, Stade (Kreis);Einfamilienhaus (freistehend);2;249;640000;2213;8;3;3;1976;1989;;Gepflegt;Zentralheizung;Strom;liegt vor;Bedarfsausweis;168,8;F
111674721;21218;21218 Seevetal, Harburg (Kreis);Villa;3;650;1300000;12250;14;;;2008;;Haus fertig gestellt;;Öl-Heizung;Öl;liegt vor;Bedarfsausweis;176,8;F
111821677;14532;14532 Kleinmachnow, Potsdam-Mittelmark (Kreis);Villa;2;162;1065000;930;5;3;2;2019;;Haus in Planung (projektiert);Erstbezug;Wärmepumpe;Strom;liegt vor;Bedarfsausweis;10,4;A+
111836532;86165;86165 Augsburg, Lechhausen-Ost;Mehrfamilienhaus;2;180;800000;968;6;;;1960;;Haus fertig gestellt;Renovierungsbedürftig;Zentralheizung;Öl;liegt vor;Bedarfsausweis;212,8;G
111840897;12307;12307 Berlin, Lichtenrade;Wohnimmobilie (sonstige);3;200;970000;1200;8;;3;1913;;Haus fertig gestellt;Saniert;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;F
112217344;21388;21388 Soderstorf / Rolfsen, Soderstorf;Mehrfamilienhaus;3;290;530000;2500;8;4;3;1863;2014;Haus fertig gestellt;Modernisiert;Ofenheizung;Holzpellets, Gas;liegt vor;Bedarfsausweis;142,3;E
112328174;85658;85658 Egmating, Ebersberg (Kreis);Einfamilienhaus (freistehend);3;163,5;1148000;400;5;3;;2004;;;Gepflegt;Zentralheizung;Gas;liegt vor;Verbrauchsausweis;;C
